Trial,Greedy Size,Greedy Time,Random Size,Random Time,Maximal Size,Maximal Time
0,49,0.00016450000111944973,52,0.00012519999290816486,53,0.0002373000024817884
1,49,0.00022570000146515667,52,0.00012900000729132444,52,0.00011389999417588115
2,50,0.00019549998978618532,51,0.00013610000314656645,55,0.00011280000035185367
3,49,0.0002007999864872545,51,0.00011860000086016953,50,0.0001049999991664663
4,50,0.00011510000331327319,52,0.00010779999138321728,51,8.579999848734587e-05
5,48,0.00011049999739043415,52,0.0001033000007737428,49,7.88000033935532e-05
6,49,0.00011250001261942089,53,0.00010730000212788582,50,8.569999772589654e-05
7,48,0.00011779999476857483,52,0.00010770000517368317,53,8.919999527279288e-05
8,50,0.00011359999189153314,50,0.00010630000906530768,52,8.410000009462237e-05
9,47,0.0001345999917248264,50,0.00010540000221226364,51,8.379999781027436e-05
10,49,0.00011340000492054969,51,0.00010489999840501696,52,8.429998706560582e-05
11,50,0.000119399992399849,51,0.00016999999934341758,50,9.709999721962959e-05
12,48,0.00012719999358523637,48,0.00011150000500492752,50,9.889999637380242e-05
13,50,0.00011280000035185367,51,0.00010689999908208847,51,8.199999865610152e-05
14,49,0.00011350000568199903,53,0.00010720000136643648,51,8.379999781027436e-05
15,52,0.00011210000957362354,48,0.00010580000525806099,53,8.30000062705949e-05
16,46,0.0001100999943446368,50,0.00010320000001229346,47,8.060000254772604e-05
17,47,0.00011490000179037452,50,0.00010739998833741993,52,8.450000314041972e-05
18,49,0.00012159999459981918,50,0.00010960000508930534,53,8.719999459572136e-05
19,51,0.00011490000179037452,53,0.00010760000441223383,52,8.759999764151871e-05
20,49,0.00011019999510608613,50,0.00010590000601951033,50,8.109999180305749e-05
21,51,0.00011520000407472253,50,0.00010750000365078449,51,8.700000762473792e-05
22,49,0.0001112000027205795,50,0.00010679999832063913,49,8.340000931639224e-05
23,46,0.0001117999927373603,51,0.00010420000762678683,51,8.269998943433166e-05
24,49,0.00011249999806750566,52,0.00010509999992791563,48,8.460000390186906e-05
25,53,0.00011490000179037452,52,0.00014479999663308263,53,0.00013869999384041876
26,52,0.00014359998749569058,51,0.000109500004327856,51,8.889999298844486e-05
27,47,0.0001145999995060265,48,0.00010740000288933516,51,8.739999611862004e-05
28,49,0.00011389999417588115,52,0.00010299999848939478,52,8.460000390186906e-05
29,51,0.00011329998960718513,51,0.00010580000525806099,52,8.460000390186906e-05
30,46,0.00011350000568199903,51,0.00010600000678095967,50,8.240000170189887e-05
31,50,0.00011529999028425664,50,0.00010920000204350799,52,8.519999391864985e-05
32,46,0.00013339999713934958,53,0.00010829999519046396,48,8.510000770911574e-05
33,51,0.00011209999502170831,51,0.00010689999908208847,52,8.509999315720052e-05
34,51,0.0001171000039903447,53,0.00010979999206028879,53,9.030000364873558e-05
35,48,0.00011399999493733048,51,0.00010489999840501696,51,8.769999840296805e-05
36,45,0.00010859999747481197,49,0.00010469999688211828,47,7.789999654050916e-05
37,51,0.00011549999180715531,50,0.00010810000821948051,52,8.769999840296805e-05
38,48,0.00011230001109652221,52,0.00010449999535921961,51,8.489999163430184e-05
39,49,0.00011330000415910035,50,0.00010699999984353781,51,8.359999628737569e-05
40,53,0.00012669998977798969,54,0.00010930000280495733,55,9.210000280290842e-05
41,50,0.00012120000610593706,50,0.00010979999206028879,54,9.09000082174316e-05
42,48,0.00011100000119768083,53,0.00010639999527484179,51,7.940000796224922e-05
43,46,0.00011170000652782619,48,0.00010439999459777027,49,8.310000703204423e-05
44,50,0.00011269999959040433,53,0.00010449999535921961,51,8.260000322479755e-05
45,51,0.00011539999104570597,53,0.00010670001211110502,53,8.560001151636243e-05
46,49,0.00011400000948924571,55,0.00010930000280495733,52,8.97999998414889e-05
47,46,0.00011149999045301229,51,0.00010580000525806099,51,8.749999688006938e-05
48,46,0.00011330000415910035,53,0.00010680001287255436,51,8.519999391864985e-05
49,47,0.00010859999747481197,51,0.00010930000280495733,53,0.00010570000449661165
50,43,0.00011490000179037452,50,0.00010760000441223383,51,8.369999704882503e-05
51,47,0.00011439999798312783,53,0.00010649999603629112,51,8.450000314041972e-05
52,48,0.00011480000102892518,50,0.0001112000027205795,49,8.719999459572136e-05
53,48,0.0001100999943446368,50,0.00010479999764356762,52,8.05000017862767e-05
54,51,0.00011159999121446162,52,0.00010770000517368317,52,8.22000001790002e-05
55,50,0.00019019999308511615,53,0.00015160000475589186,52,0.00011539999104570597
56,50,0.00012170000991318375,47,0.00010919998749159276,52,8.820000221021473e-05
57,51,0.00011660000018309802,53,0.00010799999290611595,52,8.779999916441739e-05
58,48,0.00011500000255182385,53,0.0001066999975591898,51,8.460000390186906e-05
59,46,0.00010979999206028879,53,0.00010980000661220402,51,8.079998951870948e-05
60,48,0.00011219999578315765,53,0.00010730000212788582,50,8.670000534038991e-05
61,53,0.00011950000771321356,53,0.00010970000585075468,52,8.959999831859022e-05
62,48,0.0001142999972216785,51,0.00010779999138321728,47,8.600000001024455e-05
63,49,0.00011609999637585133,53,0.00010650001058820635,52,8.789999992586672e-05
64,45,0.00011360000644344836,51,0.00010509999992791563,47,8.47999908728525e-05
65,51,0.0001142999972216785,52,0.00010720000136643648,50,8.55999969644472e-05
66,50,0.00011500000255182385,53,0.00010829999519046396,50,8.630000229459256e-05
67,47,0.00011319998884573579,51,0.00010960000508930534,51,8.759999764151871e-05
68,48,0.00011520000407472253,53,0.00010900000052060932,52,8.489999163430184e-05
69,48,0.0001534000039100647,53,0.000112599998828955,53,0.00012379999679978937
70,49,0.00011910000466741621,51,0.00010900000052060932,50,9.73999995039776e-05
71,48,0.00011609999637585133,52,0.00010750000365078449,53,9.119999594986439e-05
72,50,0.00011309998808428645,50,0.00010620000830385834,50,8.259998867288232e-05
73,49,0.00011170000652782619,53,0.0001036000030580908,52,8.279999019578099e-05
74,51,0.0001109999866457656,56,0.00010740000288933516,52,8.310000703204423e-05
75,50,0.00011300000187475234,53,0.00010540000221226364,48,8.339999476447701e-05
76,47,0.00010850001126527786,54,0.00010390000534243882,52,8.040000102482736e-05
77,49,0.000115999995614402,52,0.00010920000204350799,51,8.689999231137335e-05
78,50,0.00011369999265298247,54,0.00010640000982675701,49,8.620000153314322e-05
79,52,0.00011300000187475234,50,0.00010520000068936497,51,8.569999772589654e-05
80,52,0.00011629999789875001,51,0.00010609999299049377,50,8.319999324157834e-05
81,51,0.00011660000018309802,52,0.00011079999967478216,52,0.00011600001016631722
82,48,0.00011579999409150332,49,0.00010730000212788582,51,8.579999848734587e-05
83,50,0.00011239999730605632,50,0.00020059999951627105,52,0.0001320000010309741
84,51,0.00013300000864546746,55,0.00011430001177359372,53,9.469999349676073e-05
85,46,0.00011969999468419701,52,0.00011439999798312783,54,9.070000669453293e-05
86,50,0.00012159999459981918,52,0.0001049999991664663,52,8.280000474769622e-05
87,51,0.00011550000635907054,52,0.00010569998994469643,47,8.240000170189887e-05
88,45,0.00011249999806750566,49,0.0001078000059351325,50,8.379999781027436e-05
89,49,0.00011220001033507288,52,0.00010649999603629112,53,8.359999628737569e-05
90,49,0.00011389999417588115,52,0.00010659999679774046,51,8.33000085549429e-05
91,49,0.00011239999730605632,51,0.00010540000221226364,53,8.359999628737569e-05
92,48,0.00011449999874457717,51,0.00010869999823626131,50,8.800000068731606e-05
93,49,0.00011140000424347818,52,0.00010629999451339245,54,8.320000779349357e-05
94,48,0.00011330000415910035,49,0.00010709998605307192,50,8.360001083929092e-05
95,49,0.00011850000009872019,55,0.00011239999730605632,52,9.010000212583691e-05
96,54,0.00011600001016631722,53,0.000112900001113303,53,9.159999899566174e-05
97,48,0.0001210999907925725,50,0.00010760000441223383,50,8.689999231137335e-05
98,49,0.00012519999290816486,52,0.00011059999815188348,53,8.880000677891076e-05
99,51,0.00011390000872779638,51,0.00010429999383632094,51,8.589999924879521e-05
100,50,0.00011729999096132815,51,0.00011340000492054969,51,8.789999992586672e-05
101,50,0.00011470000026747584,52,0.00010800000745803118,54,8.600000001024455e-05
102,52,0.00011470000026747584,52,0.00010580000525806099,52,8.319999324157834e-05
103,49,0.00011530000483617187,53,0.00011430001177359372,54,9.48999950196594e-05
104,50,0.00011530000483617187,47,0.00010900000052060932,52,8.679999154992402e-05
105,51,0.00011400000948924571,51,0.00010699999984353781,54,8.589999924879521e-05
106,49,0.00011560000712051988,53,0.0001103000104194507,53,8.689999231137335e-05
107,51,0.00011700000322889537,50,0.00010799999290611595,52,8.969999908003956e-05
108,47,0.00011389999417588115,48,0.00010849999671336263,51,8.22000001790002e-05
109,50,0.0001137000072048977,55,0.00010849999671336263,48,8.709999383427203e-05
110,51,0.00012120000610593706,53,0.00011079999967478216,54,9.030000364873558e-05
111,52,0.00011890000314451754,53,0.00012310000602155924,55,9.169999975711107e-05
112,47,0.00011560000712051988,52,0.00010639999527484179,52,8.779999916441739e-05
